curva,sentido,Z,kappa,omega2,l1
1,1,31.129768095512457,0.42473675250898857,NaN,0.0015835619433423181
1,1,31.200460710942917,0.4237016109617247,NaN,0.001687224522001915
1,1,31.271153453826344,0.4226718501935141,NaN,0.0017906550462581869
1,1,31.341846322929996,0.42164742796968885,NaN,0.0018938546025073569
1,1,31.41253931703633,0.4206283024984361,NaN,0.0019968242690043686
1,1,31.483232434942767,0.4196144324249852,NaN,0.0020995651159502818
1,1,31.553925675461468,0.418605776825891,NaN,0.0022020782055729854
1,1,31.624619037419112,0.4176022952033976,NaN,0.002304364592215044
1,1,31.695312519656692,0.41660394747990137,NaN,0.002406425322411615
1,1,31.766006121029285,0.41561069399249434,NaN,0.0025082614349723614
1,1,31.83669984040586,0.41462249548759195,NaN,0.002609873961063089
1,1,31.907393676669056,0.4136393131156489,NaN,0.002711263924280817
1,1,31.978087628714995,0.4126611084259541,NaN,0.002812432340734375
1,1,32.04878169545308,0.4116878433615064,NaN,0.0029133802191204233
1,1,32.11947587580579,0.41071948025396804,NaN,0.003014108560796487
1,1,32.190170168708505,0.4097559818187012,NaN,0.0031146183598596486
1,1,32.26086457310931,0.40879731114987267,NaN,0.003214910603216173
1,1,32.33155908796881,0.40784343171564075,NaN,0.003314986270657093
1,1,32.402253712259956,0.4068943073534125,NaN,0.0034148463349281677
1,1,32.47294844496785,0.40594990226517075,NaN,0.0035144917618010058
1,1,32.54364328508958,0.40501018101287883,NaN,0.003613923510142919
1,1,32.61433823163405,0.4040751085139482,NaN,0.0037131425319852016
1,1,32.68503328362182,0.403144650036777,NaN,0.0038121497725939132
1,1,32.75572844008491,0.402218771196359,NaN,0.003910946170531726
1,1,32.826423700066655,0.40129743794995304,NaN,0.004009532657729513
1,1,32.89711906262156,0.40038061659282137,NaN,0.004107910159548714
1,1,32.96781452681511,0.3994682737540291,NaN,0.00420607959484761
1,1,33.03851009172363,0.39856037639231184,NaN,0.0043040418760408455
1,1,33.109205756434136,0.39765689179199465,NaN,0.004401797909170377
1,1,33.179901520044176,0.39675778755898417,NaN,0.004499348593960423
1,1,33.250597381661684,0.3958630316168082,NaN,0.004596694823881822
1,1,33.32129334040484,0.39497259220272135,NaN,0.004693837486211251
1,1,33.39198939540193,0.3940864378638679,NaN,0.004790777462093353
1,1,33.462685545791174,0.3932045374534965,NaN,0.004887515626598865
1,1,33.53338179072063,0.39232686012723433,NaN,0.004984052848779542
1,1,33.604078129348046,0.39145337533941355,NaN,0.005080389991731195
1,1,33.6747745608407,0.39058405283945197,NaN,0.005176527912648617
1,1,33.7454710843753,0.38971886266828887,NaN,0.005272467462880237
1,1,33.81616769913784,0.3888577751548673,NaN,0.005368209487985158
1,1,33.886864404323475,0.38800076091267155,NaN,0.005463754827786965
1,1,33.95756119913639,0.3871477908363174,NaN,0.005559104316428191
1,1,34.0282580827897,0.3862988360981761,NaN,0.005654258782426855
1,1,34.09895505450528,0.38545386814507393,NaN,0.00574921904872281
1,1,34.169652113513706,0.3846128586950106,NaN,0.005843985932736787
1,1,34.240349259054085,0.3837757797339439,NaN,0.005938560246415703
1,1,34.311046490373975,0.38294260351261183,NaN,0.006032942796291449
1,1,34.381743806729254,0.3821133025434022,NaN,0.006127134383522123
1,1,34.45244120738401,0.381287849597265,NaN,0.0062211358039480635
1,1,34.52313869161044,0.3804662177006728,NaN,0.006314947848139477
1,1,34.593836258688725,0.37964838013261976,NaN,0.006408571301443927
1,1,34.664533907906936,0.37883431042166316,NaN,0.006502006944035715
1,1,34.73523163856092,0.37802398234300877,NaN,0.00659525555096134
1,1,34.80592944995421,0.3772173699156358,NaN,0.00668831789219089
1,1,34.87662734139792,0.37641444739946334,NaN,0.006781194732655732
1,1,34.94732531221062,0.37561518929255405,NaN,0.006873886832304624
1,1,35.018023361718285,0.37481957032835944,NaN,0.006966394946141083
1,1,35.08872148925414,0.3740275654729998,NaN,0.0070587198242716975
1,1,35.159419694158615,0.37323914992258755,NaN,0.007150862211949799
1,1,35.23011797577922,0.37245429910058186,NaN,0.0072428228496175945
1,1,35.30081633347047,0.37167298865518084,NaN,0.007334602472951882
1,1,35.37151476659378,0.37089519445675706,NaN,0.007426201812904307
1,1,35.44221327451739,0.37012089259531283,NaN,0.007517621595745691
1,1,35.51291185661626,0.3693500593779892,NaN,0.007608862543104389
1,1,35.583610512271996,0.36858267132659095,NaN,0.007699925372011404
1,1,35.65430924087275,0.3678187051751618,NaN,0.007790810794939276
1,1,35.725008041813155,0.3670581378675784,NaN,0.007881519519840743
1,1,35.795706914494225,0.3663009465551866,NaN,0.007972052250191694
1,1,35.86640585832328,0.3655471085944653,NaN,0.008062409685028527
1,1,35.937104872713874,0.36479660154472365,NaN,0.008152592518985827
1,1,36.00780395708569,0.36404940316582696,NaN,0.008242601442339653
