step,kappa,period,x0,y0,z0,xmin,xmax,ymin,ymax,zmin,zmax,residual,logmu1_re,logmu1_im,logmu2_re,logmu2_im,logmu3_re,logmu3_im
39,1.5783920816336245,2.0726857520394013,0.09348892122668925,0.08877900896201718,0.691017043515385,0.03204133784714856,4.959421179603573,0.054285210918908144,6.5550522998229095,0.39485012532097746,1.7432231866075334,6.534550678338746e-12,2.097282681068891e-8,0.0,-1.2586926070129807,0.0,-6.674564773376816,0.0
40,1.6344251906325724,2.0555022361452076,0.09092023313584488,0.09009734748090867,0.6810315758032978,0.030552900504312794,4.981793831098754,0.055188996884949826,6.545343350994527,0.38611823862576145,1.7624329418963784,4.285682919658029e-12,2.081102046796983e-8,0.0,-1.2553335208088023,0.0,-6.72596426462299,0.0
41,1.6905085809878477,2.038556580951164,0.08880889937116976,0.09154509790077511,0.6714345841971056,0.029292230772403623,4.998779217791469,0.05622182256692635,6.527829968911121,0.3780319887035096,1.7807708820009065,2.7635671528969397e-12,2.0267337380594945e-8,0.0,-1.2508325791128054,0.0,-6.77690873959904,0.0
42,1.7466060911043997,2.0218561617004926,0.08710412885177461,0.09311026930135573,0.6622279668429409,0.028229574021826395,5.010817867594311,0.057373272698554655,6.503367944398312,0.3705594357392681,1.7982400445481783,1.7570389587717727e-12,1.9407456342404267e-8,0.0,-1.2453211619714746,0.0,-6.827353820130571,0.0
43,1.802690598110088,2.0054046812706146,0.08576267711490343,0.09478278621441175,0.6534105877455285,0.027340070801583637,5.0183517343121515,0.058634748636137574,6.472588500611682,0.36366887736765063,1.8148408289132163,1.1051159987118808e-12,1.830147638898729e-8,0.0,-1.2389114834335448,0.0,-6.877272325913394,0.0
44,1.8587422143725856,1.98920302938835,0.08474782408887074,0.0965541831300446,0.6449789797233205,0.026603082283043037,5.021715647307688,0.05999923699049103,6.436148388097971,0.35732946305451063,1.8305863470412336,6.830092047493963e-13,1.7018547537397184e-8,0.0,-1.2316993503758864,0.0,-6.9266501495505794,0.0
45,1.9147467803276423,1.9732499777371943,0.08402845149184882,0.09841734657047817,0.6369279170903044,0.02600110726925199,5.021251447385522,0.06146069563571125,6.394814254683954,0.35151162669216146,1.8454861270919596,4.287126209590042e-13,1.5623015203832545e-8,0.0,-1.2237666634668398,0.0,-6.975482907943083,0.0
46,1.9706946262516647,1.9575427336967715,0.0835782296851666,0.10036629912960553,0.6292508758048403,0.025519879997278075,5.017318038224505,0.0630143489789704,6.349015502303661,0.3461872449881413,1.8595533719024349,2.773337115513641e-13,1.4171873796207991e-8,0.0,-1.2151836197687642,0.0,-7.023773274334268,0.0
47,2.0265795678804053,1.942077376042545,0.08337491259224532,0.1023960197013452,0.6219403992994742,0.025147200943043867,5.010201730968171,0.06465624898098214,6.299262541297031,0.341329775242702,1.872805744454276,1.783573289060314e-13,1.2713469085498293e-8,0.0,-1.206010613834596,0.0,-7.071528885528602,0.0
48,2.0823980996043767,1.926849194223463,0.083399733157232,0.10450229441941512,0.6149883869006968,0.02487321186688083,5.000124581311098,0.06638316377009773,6.246125410183917,0.33691317798922477,1.8852572338991147,1.1329825966299722e-13,1.1287009707567548e-8,0.0,-1.1962998551129083,0.0,-7.118760722784573,0.0
49,2.138148751303508,1.91185295011798,0.08363688895965589,0.10668159337092539,0.6083863196586203,0.024689399899874127,4.987416813533537,0.06819222676616364,6.189846658931217,0.33291508465501335,1.8969231312776196,7.110978472724128e-14,9.922746797183137e-9,0.0,-1.1860967297378753,0.0,-7.1654818755593555,0.0
50,2.1938315788062446,1.8970830781943409,0.08407310674404009,0.10893096877630803,0.6021254361120222,0.024589051052911225,4.972216082948346,0.0700814617712284,6.1310126005150805,0.3293137313682259,1.907824225279221,4.451994328746878e-14,8.642647005130629e-9,0.0,-1.1754409384379487,0.0,-7.2117066103390215,0.0
51,2.2494477623528586,1.882533837165769,0.0846972749072623,0.1112479709600665,0.596196868321044,0.02456646213798372,4.95478203185828,0.07204919006692098,6.069743269342213,0.3260874314545284,1.9179749980611949,2.733924198139448e-14,7.46130132670331e-9,0.0,-1.1643674421224763,0.0,-7.25744967990179,0.0
