run,index,kappa,closure,neutral_error,transverse_modulus,BK_IVP_mu_difference
lower-n40,115,5.740075636818749,1.3773426843499692e-12,1.083366729659474e-11,0.8225560577496313,6.56208420934945e-12
lower-n40,116,5.792603454146716,1.8611778784816124e-12,1.3375522911474036e-11,0.8346542613150754,7.263079027097774e-12
lower-n40,117,5.844878725683636,2.517541730640005e-12,1.7201240432029863e-11,0.8468247841916532,9.278577906002283e-12
lower-n40,118,5.896861522915372,3.4980907059889432e-12,2.3276602867383644e-11,0.85905604651565,1.3219758621119126e-11
lower-n40,119,5.948502426891258,5.047851026063199e-12,3.3243519048653525e-11,0.871333801902001,2.0252133303699793e-11
lower-n40,120,5.9997393518266025,7.605582830194635e-12,5.0068615919940385e-11,0.8836402648728452,3.381117608114437e-11
lower-n40,121,6.05049296281728,1.1997403071006829e-11,7.950817781932074e-11,0.89595285478245,5.6714521967649034e-11
lower-n40,122,6.100659896084822,1.9846679855106686e-11,1.3304657375812212e-10,0.9082423413258128,9.700829028957969e-11
lower-n40,123,6.150102438886909,3.4484526345579525e-11,2.3508273105932176e-10,0.9204700276282742,1.7169987653886665e-10
lower-n40,124,6.19863231195495,6.320366452428061e-11,4.4088921402618553e-10,0.9325833330395764,3.1869196170930536e-10
lower-n40,125,6.245984265485892,1.2294343321173073e-10,8.847381716137193e-10,0.9445086170051262,6.363024551703234e-10
lower-n40,126,6.291771402670285,2.5565349837108897e-10,1.9203991730165626e-09,0.9561390638211575,1.3708029156234147e-09
lower-n40,127,6.335406541431434,5.723809204383201e-10,4.570307909901317e-09,0.967313407332462,3.2005761374520603e-09
lower-n40,128,6.375959035158705,2.6978419498391304e-14,2.1782575743145571e-13,0.9777772861039882,2.8399504969911504e-13
lower-n40,129,6.411892018428449,4.9960036108132044e-15,1.5765166949677223e-14,0.9871125551709662,2.864375403532904e-14
lower-n40,130,6.440619775265347,3.885780586188048e-15,6.128431095930864e-14,0.9946186472856214,2.327027459614328e-13
lower-n40,131,6.450968953159193,2.141620214501927e-10,4.389155039419279e-09,0.9973320007765855,1.3247992702858369e-09
lower-n40,132,6.456024398618135,2.6739721548096895e-12,8.824974084831183e-11,0.9986592234736118,1.421684991953498e-11
lower-n40,133,6.458489077788455,6.583622536027178e-14,3.311351193246992e-12,0.9993067091236524,5.897504706808832e-13
lower-n40,134,6.461125942685714,1.2993339737477072e-10,8.52380943605624e-10,0.999999736879518,1.9396009243166645e-09
lower-n80,0,0.4092943583924221,1.7057466550340905e-12,1.7085222125956534e-11,0.9909153321894872,2.7198243657267085e-12
lower-n80,1,0.4098220552017464,3.630429290524262e-14,1.7208456881689926e-13,0.988541661077291,2.653433028854124e-13
lower-n80,2,0.41063045364929274,5.6621374255882984e-14,2.919886554764162e-14,0.9849237902898537,2.5845992013273644e-13
lower-n80,3,0.4118962285581282,2.5845992013273644e-13,1.8189894035458565e-12,0.9793034884002133,3.8768988019910466e-13
lower-n80,4,0.4139218352583097,2.709610313900157e-12,2.1741386468931978e-11,0.9704210010028462,2.231659301799027e-12
lower-n80,5,0.4172313170036677,3.141853444077469e-11,2.254243458565952e-10,0.9561985240424948,2.6233459848867824e-11
lower-n80,6,0.4227418048945467,3.637696810443458e-10,2.284987754563872e-09,0.93329033797834,3.3345937122675195e-10
lower-n80,7,0.43039039217545766,1.3302507984036538e-09,7.498439424935555e-09,0.9030194433290459,1.7455190626236572e-09
lower-n80,8,0.4395542135601961,1.6111041944988358e-09,8.429205222704184e-09,0.8689404935384214,2.865687243058801e-09
lower-n80,9,0.45022730219587487,1.4674331749731095e-09,7.313166738853738e-09,0.8320270822522045,3.3848123193180868e-09
lower-n80,10,0.4624132771047594,1.2858311082553087e-09,6.221439141640417e-09,0.7932163741637395,3.752149146940553e-09
lower-n80,11,0.47612462448520054,1.0928918880992455e-09,5.2024637930969675e-09,0.7533806053431321,3.971906137323344e-09
lower-n80,12,0.4913837533604115,9.059726302496074e-10,4.280101162379424e-09,0.7133015189379902,4.055579760908756e-09
lower-n80,13,0.5082235474081318,7.353535003140621e-10,3.4643776736231757e-09,0.6736559194835487,4.019282240363964e-09
lower-n80,14,0.5266874392996725,5.860449903138942e-10,2.755728756298481e-09,0.6350103740904355,3.880777699194482e-09
lower-n80,15,0.5468290192495986,4.5942497028939044e-10,2.1482833290065173e-09,0.5978228435706667,3.6574977491099503e-09
lower-n80,16,0.568711150290782,3.546087867789538e-10,1.6326773266683858e-09,0.5624491520346685,3.3654391495829827e-09
lower-n80,17,0.5924045175161762,2.6952584608608277e-10,1.1983016801053736e-09,0.5291524937915107,3.01929015122937e-09
lower-n80,18,0.6179854960321475,2.0162235769838333e-10,8.346929813995985e-10,0.4981145191282798,2.6333225600083665e-09
lower-n80,19,0.6455331928601555,1.4833281825055167e-10,5.328437691076715e-10,0.4694468748229874,2.2230088880803578e-09
lower-n80,20,0.6751255157271686,1.0730880073417381e-10,2.854364522519859e-10,0.443202375298395,1.8067798368548438e-09
lower-n80,21,0.7068341663066855,1.0610112788356219e-10,8.749778679373321e-11,0.4193852413594212,1.4070623555184625e-09
lower-n80,22,0.7407185705287658,1.1416501077832208e-10,6.392597562410174e-11,0.3979600713556812,1.0500331715235234e-09
lower-n80,23,0.7768189637111023,1.160634921504311e-10,1.6969314842185668e-10,0.37885941349686314,7.627919407227068e-10
lower-n80,24,0.8151491431471033,1.1103601371686977e-10,2.2899571128220941e-10,0.36198999385673586,5.676700221002307e-10
lower-n80,25,0.8556897423823658,9.837289316472209e-11,2.402420484770573e-10,0.34723781882972565,4.747842119456891e-10
lower-n80,26,0.8983831661629805,7.807571256179813e-11,2.033104795629015e-10,0.33447249579862,4.761190330881959e-10
lower-n80,27,0.9431313991507395,5.156838844833089e-11,1.2267031834767295e-10,0.3235511711512175,5.441701533825949e-10
lower-n80,28,0.9897976214928169,2.1938617589256637e-11,9.709566484161769e-12,0.3143224401606984,6.379738959338965e-10
lower-n80,29,1.0382118987861602,2.2618018569176002e-11,1.1679790468122064e-10,0.3066304315755391,7.156055747969958e-10
lower-n80,30,1.0881803226274134,2.987540770327257e-11,2.3444890473456326e-10,0.3003190481178182,7.471590013352625e-10
lower-n80,31,1.139496180728878,4.5225684308647374e-11,3.2327007737364966e-10,0.2952361307867337,7.223841524961472e-10
lower-n80,32,1.1919513512754714,5.2090137758753485e-11,3.721567498615741e-10,0.29123719419894484,6.489806470000303e-10
lower-n80,33,1.2453462739880727,5.1782494958629854e-11,3.8046754635701063e-10,0.28818839493482606,5.456987084428988e-10
lower-n80,34,1.2994974240942607,4.664731101389208e-11,3.561447803335227e-10,0.28596852335075545,4.3301662255856854e-10
lower-n80,35,1.3542419266054144,3.910734236445279e-11,3.110254276350588e-10,0.2844699846863011,3.271505288893195e-10
lower-n80,36,1.4094395387259995,3.1056268667839504e-11,2.5739899101040464e-10,0.28359888800102784,2.3677926286325146e-10
